Fiscal Year(FY),Newly Enlisted,Applicants
1976,393362,609054
1977,495109,762086
1978,305644,585820
1979,310679,609361
1980,360745,768532
1981,304506,800103
1982,305459,793738
1983,303461,728657
1984,305063,629281
1985,301017,626218
1986,313777,628532
1987,296325,600769
1988,271244,509172
1989,277820,571884
1990,223725,487819
1991,205501,428321
1992,201622,372554
1993,203115,379291
1994,176409,343176
1995,167287,355641
1996,179133,373473
1997,188895,391666
1998,180031,346735
1999,183768,343945
2000,178833,365348
2001,182976,369780
2002,181510,380996
2003,176408,352839
2004,175972,309261
2005,152160,289713
2006,167389,316102
2007,159246,296615
2008,172044,333663
2009,161605,374368
2010,160511,308112
2011,153314,283108
2012,154427,255999
2013,164674,248932
2014,138902,216182
2015,145270,245309
2016,151390,245649
2017,159583,247785
2018,163582,252619
2019,163574,257990
2020,148318,205105
